lat,lng
-35.413979,149.065034
-35.418868,149.064905
-35.250711,149.137834
-35.278234,149.132794
-35.281200,149.124127
-35.340452,149.052371
-35.276198,149.126588
-35.238393,149.067672
-35.235997,149.066514
-35.279393,149.128211
-35.238153,149.070219
-35.278657,149.130717
-35.347922,149.088274
-35.275095,149.132411
-35.310821,149.147036
-35.282057,149.124347
-35.281387,149.126423
-35.276407,149.128233
-35.346280,149.084388
-35.278977,149.125787
-35.248229,149.149471
-35.184676,149.129433
-35.414578,149.068405
-35.319300,149.132504
-35.249627,149.137252
-35.239350,149.064561
-35.414450,149.065306
-35.249399,149.134214
-35.271515,149.132955
-35.347264,149.088743
-35.275436,149.127293
-35.280594,149.132397
-35.282433,149.133845
-35.422549,149.074276
-35.278992,149.13315
-35.237579,149.071941
-35.271746,149.131602
-35.249675,149.141062
-35.249720,149.136728
-35.343233,149.085158
-35.285221,149.123498
-35.281144,149.131406
-35.238724,149.070402
-35.282942,149.136064
-35.237763,149.071075
-35.281418,149.135237
-35.280928,149.125753
-35.239883,149.069631
-35.249140,149.100899
-35.320450,149.13261
-35.236273,149.070852
-35.320159,149.133563
-35.274914,149.131126
-35.282260,149.123713
-35.249399,149.135665
-35.236510,149.063162
-35.251597,149.133859
-35.274324,149.10861
-35.277010,149.128634
-35.274863,149.107988
-35.413943,149.067723
-35.274099,149.132538
-35.414815,149.065612
-35.277263,149.126443
-35.275798,149.128858
-35.344940,149.088011
-35.235989,149.070354
-35.185456,149.128405
-35.248695,149.1012
-35.275717,149.131176
-35.239158,149.068746
-35.238218,149.063298
-35.283507,149.137093
-35.235281,149.066228
-35.340467,149.090241
-35.280193,149.127441
-35.280238,149.125747
-35.237943,149.067258
-35.277994,149.126316
-35.415480,149.068099
-35.239024,149.072317
-35.280069,149.132221
-35.339390,149.091185
-35.270804,149.131772
-35.322211,149.134434
-35.278378,149.128061
-35.246142,149.134472
-35.278735,149.137401
-35.272661,149.132803
-35.239861,149.06858
-35.275798,149.128858
-35.249711,149.139038
-35.343699,149.087709
-35.344574,149.085799
-35.320697,149.133712
-35.279381,149.130582
-35.419311,149.072123
-35.282997,149.124349
-35.236735,149.071375
-35.279868,149.126668
-35.283813,149.132553
-35.341875,149.053425
-35.250277,149.136805
-35.421968,149.073466
-35.249959,149.133566
-35.278395,149.129913
-35.319650,149.131847
-35.277947,149.13066
-35.236107,149.068519
-35.278203,149.131841
-35.278623,149.131832
-35.252755,149.133078
-35.247509,149.134367
-35.416227,149.06997
-35.344812,149.085459
-35.277690,149.109726
-35.232782,149.146308
-35.280394,149.126571
-35.423330,149.073674
-35.276907,149.126718
-35.279528,149.126516
-35.418179,149.068732
-35.275092,149.134432
-35.282087,149.125158
-35.279550,149.132198
-35.239395,149.06365
-35.251142,149.136477
-35.289394,149.130726
-35.232789,149.145849
-35.232670,149.146775
-35.239009,149.063451
-35.288012,149.13164
-35.251071,149.135255
-35.414295,149.064371
-35.348060,149.08745
-35.312785,149.146493
-35.279918,149.131111
-35.185286,149.132129
-35.348113,149.084951
-35.278772,149.131477
-35.283786,149.124548
-35.250141,149.13969
-35.27855,149.13176
-35.342429,149.083885
-35.341223,149.087951
-35.347397,149.084523
-35.415120,149.068973
-35.26973,149.13203
-35.248292,149.100109
-35.184410,149.135286
-35.248749,149.133762
-35.321340,149.133258
-35.240923,149.067188
-35.320032,149.025652
-35.283401,149.125927
-35.273277,149.133061
-35.312085,149.145714
-35.274077,149.131254
-35.419301,149.066837
-35.281791,149.132009
-35.288187,149.129411
-35.417918,149.069273
-35.249269,149.138052
-35.248271,149.133611
-35.278530,149.138333
-35.283241,149.133137
-35.343076,149.085896
-35.276940,149.12949
-35.420764,149.073017
-35.236168,149.06923
-35.418658,149.06785
-35.341435,149.052219
-35.26994,149.13194
-35.271039,149.133034
-35.240201,149.067551
-35.248107,149.150534
-35.277033,149.127889
-35.311594,149.145416
-35.232780,149.146072
-35.284697,149.12518
-35.290289,149.132541
-35.250336,149.140812
-35.281427,149.133578
-35.279747,149.127459
-35.280702,149.132849
-35.253761,149.13352
-35.276681,149.132339
-35.236452,149.070232
-35.287142,149.130388
-35.239981,149.06038
-35.281390,149.124534
-35.236144,149.067561
-35.415671,149.064739
-35.421735,149.074041
-35.237208,149.067521
-35.277665,149.131965
-35.419322,149.070379
-35.236246,149.062316
-35.319174,149.131069
-35.310903,149.144911
-35.278240,149.126829
-35.288866,149.131144
-35.275720,149.128095
-35.278608,149.130047
-35.237096,149.070857
-35.239669,149.060668
-35.284125,149.123678
-35.239148,149.067559
-35.287945,149.130067
-35.238059,149.072059
-35.312725,149.143639
-35.418341,149.066337
-35.232531,149.14697
-35.419142,149.070316
-35.341283,149.089169
-35.237130,149.071717
-35.277293,149.11018
-35.235769,149.069745
-35.341376,149.085979
-35.239278,149.070484
-35.250772,149.134004
-35.249965,149.137939
-35.318043,149.13309
-35.281020,149.134291
-35.184418,149.128491
-35.340258,149.082751
-35.281361,149.125691
-35.284352,149.123124
-35.420549,149.071619
-35.413113,149.063052
-35.310553,149.147712
-35.320985,149.132234
-35.414915,149.062937
-35.342476,149.053246
-35.321119,149.134649
-35.232426,149.147178
-35.320038,149.025547
-35.344070,149.085262
-35.419993,149.065313
-35.249216,149.139546
-35.280304,149.124652
-35.419925,149.072475
-35.248407,149.147924
-35.250270,149.135371
-35.278948,149.127617
-35.184043,149.126519
-35.320317,149.134992
-35.284416,149.136508
-35.278832,149.108855
-35.344222,149.088311
-35.316193,149.142378
-35.279524,149.125607
-35.414535,149.066935
-35.288866,149.131144
-35.272670,149.131481
-35.417082,149.068814
-35.235924,149.068317
-35.320141,149.131279
-35.240104,149.059742
-35.415660,149.06779
-35.345440,149.084075
-35.421351,149.072738
-35.274365,149.106947
-35.274685,149.134398
-35.233004,149.146794
-35.277868,149.127339
-35.281480,149.130419
-35.278020,149.134902
-35.272960,149.133233
-35.341635,149.051601
-35.211694,149.138797
-35.316055,149.138007
-35.416496,149.068606
-35.415683,149.062958
-35.277320,149.110295
-35.232886,149.146659
-35.319237,149.131275
-35.281483,149.130258
-35.277868,149.127339
-35.311542,149.145912
-35.253126,149.073647
-35.232966,149.146274
-35.273702,149.129162
-35.319523,149.131313
-35.352781,149.075959
-35.277802,149.109568
-35.232963,149.145993
-35.320309,149.133466
-35.276047,149.129049
-35.273702,149.129162
-35.319500,149.131473
-35.344941,149.085158
-35.273702,149.129162
-35.233051,149.146618
-35.324700,149.142777
-35.415702,149.063963
-35.316801,149.141845
-35.232728,149.146837
-35.308119,149.136488
-35.321443,149.095961
-35.273702,149.129162
-35.393219,149.068568
-35.232794,149.146896
-35.273702,149.129162
-35.337883,149.181825
-35.273702,149.129162
-35.416572,149.066203
-35.277868,149.127339
-35.324057,149.172701
-35.273702,149.129162
-35.277727,149.127134
-35.275983,149.128994
-35.281509,149.130366
-35.232964,149.145707
-35.185433,149.135575
-35.232924,149.146668
-35.277868,149.127339
-35.346435,149.085002
-35.313786,149.10708
-35.277859,149.127163
-35.415628,149.06392
-35.277868,149.127339
-35.273702,149.129162
-35.232669,149.147287
-35.355249,149.041639
-35.415557,149.063868
-35.328353,149.143012
-35.27804,149.13183
-35.256408,149.078689
-35.327408,149.178015
-35.233156,149.145986
-35.277868,149.127339
-35.273702,149.129162
-35.235873,149.068127
-35.232639,149.147028
-35.278554,149.131107
-35.277868,149.127339
-35.373047,149.087372
-35.273702,149.129162
-35.327575,149.175393
-35.345617,149.086044
-35.235701,149.068014
-35.281454,149.130329
-35.415731,149.063893
-35.415658,149.063841
-35.276049,149.129105
-35.273702,149.129162
-35.240195,149.060304
-35.279464,149.130718
-35.273702,149.129162
-35.312656,149.133486
-35.277868,149.127339
-35.319182,149.1311
-35.233165,149.146269
-35.281425,149.130389
-35.2400508,149.060637
-35.281520,149.130536
-35.415462,149.063809
-35.232540,149.147166
-35.273702,149.129162
-35.379323,149.066239
-35.233159,149.145707
-35.277868,149.127339
-35.232756,149.146585
-35.233049,149.146723
-35.323164,149.174946
-35.273702,149.129162
-35.415501,149.06373
-35.251974,149.134448
-35.281538,149.130294
-35.251836,149.134412
-35.232526,149.147173
-35.350355,149.086919
-35.415442,149.063898
-35.324700,149.142777
-35.256408,149.078689
-35.415683,149.062958
-35.320206,149.133418
-35.232922,149.147015
-35.210882,149.142084
-35.251366,149.13558
-35.308119,149.136488
-35.308119,149.136488
-35.273702,149.129162
-35.420966,149.069124
-35.277868,149.127339
-35.347189,149.084093
-35.344985,149.083774
-35.415573,149.063786
-35.235986,149.06807
-35.415519,149.063946
-35.276016,149.129011
-35.307953,149.190635
-35.282223,149.132191
-35.277868,149.127339
-35.277868,149.127339
-35.320560,149.097346
